"department","total_count","terminated_count","termination_rate"
"Support","581","121","0.21"
"Research and Development","668","131","0.20"
"Business Development","1033","182","0.18"
"Engineering","4136","730","0.18"
"Training","1061","186","0.18"
"Auditing","33","6","0.18"
"Legal","184","34","0.18"
"Accounting","2072","371","0.18"
"Human Resources","1129","205","0.18"
"Sales","1164","202","0.17"
"Product Management","399","67","0.17"
"Services","1025","177","0.17"
"Marketing","314","42","0.13"
